i,forum,global_ms,tenant_ms
13,android,2.6427220000186935,3.610774001572281
13,android,3.2152780004253145,3.752427001018077
13,android,2.6260250015184283,3.1439349986612797
13,android,2.394552000623662,2.9710540002270136
13,android,2.232845003163675,3.209574002539739
14,android,2.3827909972169437,3.1391630000143778
14,android,2.186904999689432,3.6721020005643368
14,android,2.7577349974308163,3.6381860008987132
14,android,2.604912999231601,3.2899129982979503
14,android,2.6063479999720585,3.951996000978397
14,android,2.773604999674717,3.315467001812067
14,android,2.6087370024470147,3.6487889992713463
14,android,2.751567000814248,3.6149530023976695
14,android,2.4153570011549164,3.618606999225449
14,android,2.338760001293849,3.980141998908948
14,android,2.5644050001574215,3.6676099989563227
14,android,2.231178998044925,3.1718780010123737
14,android,2.690471003006678,3.297893999842927
14,android,2.5119720012298785,3.3134910008811858
14,android,2.323134001926519,3.809103000094183
14,android,2.586270002211677,4.160016997047933
14,android,2.7162389997101855,3.4041280014207587
14,android,2.372515999013558,3.324614997836761
14,android,2.4870790002751164,3.646733999630669
14,android,2.2888450002938043,3.1528170002275147
15,android,1.9653999988804571,2.550629997131182
15,android,2.1397089985839557,2.5612300014472567
15,android,2.098545999615453,2.5162870006170124
15,android,1.9106549989373889,2.4968059988168534
15,android,2.178246999392286,2.8579310019267723
15,android,1.8531380010244902,2.155475998733891
15,android,1.5529040028923191,1.9929259979107883
15,android,1.9074280025961343,2.601331001642393
15,android,1.7147380021924619,2.5793069980863947
15,android,1.79020399809815,2.076585999020608
15,android,1.6171110000868794,2.198453999881167
15,android,1.7107909989135806,2.7404829997976776
15,android,2.0461390013224445,2.472570002282737
15,android,1.69461099721957,2.0472190008149482
15,android,1.4786950014240574,2.1572430014202837
15,android,1.539156997750979,2.3523950003436767
15,android,1.629594000405632,2.312886001163861
15,android,1.5803060014150105,2.0788660003745463
15,android,1.5225089991872665,2.0065989992872346
15,android,1.618344002054073,2.3099989994079806
16,android,2.2186040005180985,3.1251820000761654
16,android,2.443165998556651,3.0793480000284035
16,android,2.47840200245264,3.085393000219483
16,android,2.2751380020054057,2.9588949983008206
16,android,2.370525002334034,3.6507929980871268
